"year","locationname","datasource","category","measure","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_limit","high_confidence_limit","totalpop18plus","totalpopulation","geolocation","locationid","categoryid","measureid","datavaluetypeid","short_question_text"
"2023","02120","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.1",,,"10.9","13.4","15435","17578","POINT (-71.0966062 42.3321343)","02120","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02163","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.3",,,"9.2","11.6","1307","1391","POINT (-71.125092 42.3672264)","02163","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02325","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","13.4",,,"11.8","15.0","3003","3025","POINT (-70.9624084 41.990101)","02325","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02130","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.8",,,"9.8","12.0","32855","38284","POINT (-71.1134714 42.3081754)","02130","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02121","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","14.2",,,"12.8","15.7","20930","28766","POINT (-71.086971 42.305403)","02121","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02131","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.5",,,"10.3","12.7","24640","30544","POINT (-71.1247457 42.2823231)","02131","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02379","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.8",,,"10.5","13.2","6048","7697","POINT (-71.026717 42.0216172)","02379","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02169","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.8",,,"9.6","12.0","52547","62140","POINT (-71.0152045 42.2400156)","02169","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02330","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.3",,,"10.9","13.7","9330","11645","POINT (-70.7467149 41.8751792)","02330","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02122","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.1",,,"11.0","13.4","19337","24385","POINT (-71.0525334 42.2950881)","02122","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02332","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.3",,,"10.0","12.6","12173","16090","POINT (-70.7060604 42.0444072)","02332","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02132","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.8",,,"9.7","12.0","22131","27111","POINT (-71.1604493 42.2790822)","02132","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
